Cust_ID,Segment,Tier,Current_Balance,Recommendation,Bonus_Points,Discount_Offer,Action
CUST_161,Unknown,Bronze,310.48,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_163,Unknown,Silver,2736.0,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_166,Unknown,Silver,1312.01,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_167,Unknown,Gold,4033.58,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_168,Unknown,Gold,3614.87,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_169,Unknown,Silver,1133.8,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_170,Unknown,Silver,2059.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_172,Unknown,Gold,3904.74,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_173,Unknown,Silver,1559.43,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_175,Unknown,Silver,1050.31,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_176,Unknown,Bronze,390.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_177,Unknown,Silver,1643.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_178,Unknown,Silver,1963.21,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_180,Unknown,Bronze,620.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_182,Unknown,Bronze,295.1,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_183,Unknown,Silver,2214.91,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_184,Unknown,Silver,1812.56,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_185,Unknown,Silver,1646.3,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_189,Unknown,Silver,1681.7,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_190,Unknown,Silver,1602.75,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_192,Unknown,Silver,2169.8,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_194,Unknown,Bronze,885.57,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_195,Unknown,Bronze,679.47,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_197,Unknown,Bronze,527.93,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
CUST_198,Unknown,Silver,1468.19,Potential Customer - Personalized targeting,150,0.08,Send personalized recommendations
